,Label,Src Port,Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Traffic Type
Label,1.0,-0.009620874625219765,-0.015104814116650947,-0.016915198508304672,-0.03500938653433687,-0.030466857085604416,-0.08953177689886065,-0.32784376239099766,-0.2237506269591726,-0.0018519300118050239,0.0014743334753163843,0.0013382911685377217,-0.0020763437554511066,-0.06787220617549082,-0.0009725150987484233,-0.07817991112308546,-0.02343212935247146,-0.00270198230055248,-0.0036372900258336404,0.002679815084481264,-0.0009783766363047949,-0.0023821992693461467,0.0030247422144550357,-0.035839549295231664,0.003055239749261077,-0.005927457661454509,-0.0027386311097362284,0.004903488749735117,-0.24720396251463325,-0.009564520589547949,-0.006510330851963772,-0.01886291576487908,-0.004732235466222519,0.0007762595893431328,0.004497343559032794,-0.38167569513175276,-0.3130915293715361,-0.003616359818534442,-0.0020682459396477336,-0.005988330573086475,-0.00856783763273877,-0.0034015224945097553,0.0010183802992172531,-0.0011565754796142558,-0.002109936208527026,-0.001991255611713961,0.016882988949940756,-0.30544086832397876,-0.299848574367603,0.0036353885110109695,0.0033265789471365005,0.0033689789186848286,-0.10498681453989035,0.0002281240555730441,0.0013382911685377217,-0.07817991112308546,-0.3801364047421266,-0.4005477033132951,-0.00010513829257732232,-0.015515601749998753,-0.057932922434816334,-0.07881811682602566,-0.16715511999685825,-0.025873195405438174,-0.0031124534636258454,-0.36550542755514737,0.006570878112379311,-0.03785791841517144,-0.07469419395485727,-0.051344817967933686,-0.02618619215407854,-0.0007927639162523534,-0.005180031826268993,-0.0019432307995632676,0.00046163590582508357,-0.08035991818634529
Src Port,-0.009620874625219765,1.0,-0.32707482469864896,0.06760387985732366,0.03681068551611696,-0.0032261628203243686,0.001387368329318454,0.0017557394787968584,0.0054325776626092505,-0.12386845835909538,-0.12972531320103303,-0.12819391823512064,0.020608670698940686,0.07447724277565189,0.022054423560967595,0.05979664464184816,0.06996887072371916,-0.0028499166387759177,0.005293365985392017,0.027752448424243948,0.06664314173894931,0.05177478393988415,-0.003185034114141033,0.0347995020857945,0.03873238643828654,0.051980344579121825,0.049692335107184314,0.025148473533150188,0.046997055728394486,0.04450555058979419,0.04975955604881616,0.04847399108846251,0.015341284002549105,-0.015613995635048322,-0.007922028346277622,0.010679543449071096,0.008256023136852239,0.005246337641328308,0.00460764290913935,-0.08878492683020307,-0.11879017748323425,-0.12814123481112957,-0.06259956665124519,-0.13441773697495724,-0.004133318108764944,0.02028149343437018,-0.08234661282308811,0.007531208697173772,0.008428408987981757,-0.00639001532387775,0.02636841547088346,0.027244340332195145,-0.003242668796578004,-0.12702403127139678,-0.12819391823512064,0.05979664464184816,0.006319893410374202,0.006947641728282976,-0.0014688321919070916,-0.003522537260842964,-0.012374579280172496,0.0010066745384230407,0.002326411040098352,0.1077019290239487,0.016411050957750542,0.00785098871513224,0.02957920425709644,0.026931372105509787,0.0047956138527654206,0.025258113994174866,0.027178317555179257,0.05922134925133853,0.016966590555021213,0.05596861009939018,0.058670458645515434,-0.3168398594291118
Dst Port,-0.015104814116650947,-0.32707482469864896,1.0,-0.06359332047404664,-0.1434515579070652,-0.0009434822849325932,0.0024933261856182457,-0.004609400352047832,0.0008493629480293864,-0.2582072276471409,-0.2532799173105514,-0.2575190745003197,-0.03782388866317725,-0.01800440456258996,-0.004022271838676509,-0.014438112852509045,-0.019284203646445917,0.0019352518437956451,0.010001766946021591,-0.09577274195102725,-0.1293931902280903,-0.13002460094084523,-0.029861145095277215,-0.14139094467089952,-0.11194128592634928,-0.09971718341720415,-0.1290097419679884,-0.08574423677180809,0.009833473484074864,-0.0015195700207731064,-0.005874869705725636,-0.0016554345287438379,0.004085553197058306,0.009937951643095268,-0.008526549530936178,0.0022864490707256327,0.007943339392791147,0.009768082381430626,0.02267168125457162,-0.122876437584853,-0.2584533242462725,-0.2466403288796849,-0.19332964760397298,-0.11383446821387205,0.023028681948957113,-0.0021932719337867707,0.13070175181157423,0.010685589445791965,0.007079454665686344,-0.03779000502960858,-0.08643800649100815,-0.08758489469099318,0.05527892049023723,-0.24571427833681952,-0.2575190745003197,-0.014438112852509045,-6.239822113147895e-05,0.001385355624456939,0.00426731764435426,-0.0008170612360738144,-0.024297715402559407,0.000984988385032722,0.0008200492010814606,0.13427913711261466,0.0018303308263177334,-0.0049088250417261125,0.028104758134150774,-0.08657141378065225,-0.019462147720507562,-0.083864415764402,-0.08662867005343756,-0.13196390006124348,-0.07412147642135745,-0.13696515894938463,-0.12212490856648642,0.7082862193618238
Protocol,-0.01691519850830467,0.06760387985732365,-0.06359332047404663,0.9999999999999998,0.17750000003200261,-0.007184939972111903,-0.0024051894828245966,0.022551315761772894,-0.0006633506596519513,0.06373816849292516,-0.05575841254590152,-0.007012388366420821,0.4451955103775852,-0.0035408578931946737,0.03697330556236167,0.014745498587765986,-0.01349341100990277,-0.0022948115920590215,-0.003233392152014942,0.07595357581130759,0.04911934030607846,0.10037783725864674,0.05279374467530248,0.18565083781008235,0.04835970193917498,0.15157308026238192,0.1069417450754576,0.0011240635199830176,0.015108642221800434,0.05071145209807129,-0.00689665087891113,0.017139828704042126,0.07251272644630138,-0.07580477226973771,-0.07367794235919567,0.0027468282590382056,-0.003647143417948844,-0.003123232267977275,-0.010667189092434746,0.060536833402853894,0.06260717639922274,0.016803984812523088,-0.004492120461895838,0.0005914868723788556,-0.06850736794911032,-0.03967387408719099,-0.3527237172572795,-0.0041133919971565805,-0.005342306977150776,-0.05955692324862552,-0.05449783604552809,-0.055192455573425295,-0.09800045308888423,0.005014180355438979,-0.007012388366420819,0.014745498587765986,0.016286646707852053,0.01655864064208019,-0.00024278643579418396,-0.008425522645105961,0.008273110904178404,-0.0025010737898432493,-0.0003558323704876282,-0.036875788295782974,-0.004363012994329312,0.0313380122145957,-0.43506955022814087,0.3000748054782554,0.24875359199278346,0.3224236614743909,0.26857595530515466,0.08377740020836293,0.0816156085199583,0.09870880590364568,0.06768803386464889,0.06853543293992811
Flow Duration,-0.03500938653433687,0.03681068551611696,-0.14345155790706524,0.1775000000320026,1.0,0.014302190670045059,0.006620166645604032,0.022835487477503868,0.0067893278286481696,0.2823698778974078,0.19953847615022188,0.23543231468353246,0.3175290576202455,0.01707648311853835,-0.012157172858018522,0.0029556093376495412,0.01702433603885546,-0.010995851618285209,-0.012209465926789068,0.7555791730181332,0.6416355925493871,0.8855216523554266,0.4393266068348269,0.9804246858013914,0.7599723428413865,0.5989672540749036,0.8687081353199375,0.6021366466921215,0.0681214124791024,0.04262450433952639,0.0485636519589785,0.05348689970799741,0.01650869204520082,0.010803803987761795,-0.029834514225820848,0.04279507314222771,0.013718974466507163,-0.011331917993026193,-0.08479023503413838,0.3195268166138624,0.2821277291400725,0.3130284479636142,-0.02807203134392655,-0.024561575332380285,0.02639626206826411,0.09207741950219744,-0.2813828325684569,0.0293095425575422,0.016421635448562615,0.13895916237963185,0.16138950677953254,0.14626020751100405,-0.3981957945448879,0.2577937889227173,0.23543231468353246,0.0029556093376495412,0.0107357404235091,0.012725624507381527,-0.0008257185139893007,0.013699625736758717,0.05738995268749997,0.006976746107327839,0.005231371403925627,-0.04540716124400467,-0.0066340105857006035,0.042068370055878754,-0.23631980469729463,0.3729780393660703,0.21940708553211077,0.386996562621907,0.3500118387995441,0.8202926878623412,0.5877162146156184,0.8837445121424161,0.7307287863627748,-0.1475289225749666
Total Fwd Packet,-0.030466857085604416,-0.0032261628203243686,-0.0009434822849325933,-0.0071849399721119036,0.01430219067004506,0.9999999999999998,0.33465698625005635,0.06166689493895488,0.028327243347135517,-0.0012990436522150987,-0.001736984224182066,-0.0016639905217922238,0.0006838745066950188,0.005572720732576086,-9.669052204993643e-05,0.009531223271841123,0.0019069536379671375,0.00039438089409739237,0.0008041426787888007,-0.0016060823553302242,-0.0007609030391570264,0.0014857309136426136,-0.001361406915938469,0.013965511353240527,-0.0016653463626731316,0.00013142996958404263,0.0010091582782781735,-0.0017814609730280988,0.028721060567781263,0.0026644015118550903,0.0074111876660038056,0.013219133745234044,-5.846043141119897e-05,-0.0012034394129455874,-0.001414839025024803,0.054911761625503534,0.03419186866759111,0.0007563467586781077,0.004620036561926468,0.00030848095466259624,-0.0007040724643832152,-0.0008515039832847614,-0.0016127400418197648,-0.0007730666750853001,-0.0008084791394974317,0.0014324191711140458,-0.006790611605887862,0.033099222991193916,0.03512249451374521,-0.0006860333992121797,-0.0005773716277602092,-0.0006286105444412184,-0.0029614900480215427,-0.0014091794126500717,-0.0016639905217922238,0.009531223271841124,0.06636553016639278,0.06764927535760497,2.9027828028516574e-05,0.9168817475118123,0.008505000005248715,0.31933774201894577,0.01617538389206041,0.0015801052771249313,0.0008692070130763137,0.06485577369050811,-0.011169258695600212,0.024665623445898892,0.030037029511837936,0.03020570084635171,0.021417037603663865,0.0007986816964265402,0.001529573338995115,0.0010374154397491807,0.0005135332795115599,0.002026050273010005
Total Bwd packets,-0.08953177689886065,0.0013873683293184537,0.0024933261856182457,-0.0024051894828245966,0.006620166645604032,0.33465698625005635,1.0,0.002402080977925691,0.2175191011843618,-0.0010162466512293141,-0.0024821076575041565,-0.002440219994014272,0.0010398482291943368,0.03575476181494628,0.0002414699189653476,0.061243491623173434,0.012218530396163833,0.0011383846288805627,0.0003143643090317826,-0.004145763495465523,-0.0005654792821220113,-0.0025436913888541167,-0.004074079408346395,0.0066182457714324015,-0.0034188378934691477,-0.0009723285770821322,-0.002589432458787915,-0.003244622424734548,0.10832350947819507,0.0015849315444892453,0.002505637887976091,0.009759197330116745,0.0002368768866279874,-0.00013097817079452766,-0.00029145925151769983,0.21643609314714102,0.2533061278026609,0.00014710593036557939,0.01613317161839061,-0.003602388118911171,0.002737400319247903,-0.0005662249739454943,0.004526475625586365,0.004348566443600286,0.0025392259256310046,0.0022703080590427546,-0.004429053618604456,0.2113229839665415,0.23826093604307066,-0.0005011503596632531,-0.0004847845976568019,-0.0004774777979164604,0.08966816860292483,-0.0013207618677872632,-0.002440219994014272,0.061243491623173434,0.10844723643277883,0.12239807761249974,0.00019496550660802708,0.4401964156120133,0.004740752054320945,0.9460427481297171,0.12716868265415432,0.013840703065867741,0.0013325717728006282,0.027937224627409028,0.0013076224476223502,0.004906101172539204,0.002527398761190358,0.005047776607492875,0.004701201794433299,-0.00297470241209768,-0.0008666842440832373,-0.0029324191195362103,-0.0029195205455402875,-0.0012664873802896162
Total Length of Fwd Packet,-0.32784376239099766,0.0017557394787968584,-0.004609400352047832,0.022551315761772894,0.022835487477503868,0.06166689493895488,0.002402080977925691,1.0,0.001302588832006471,0.029679672112670058,0.02872170091071144,0.029311564172421915,0.004577217009748998,0.0011158835343677944,-0.0004182752102732881,0.00042325461945616965,-7.371694997958248e-05,0.004892057975560507,-0.000249205895800255,0.004476963988441513,0.0025767522081268784,0.0052714154013600925,0.0026539591845634158,0.02334985345278947,0.004065278652800217,0.0044043029420657775,0.005556668128698236,0.0027867126401194668,0.004854374837199033,-0.0005224093735429609,-0.0004534240645265145,-0.00022989945242080158,-0.00031023468113980894,-0.0007851359729823865,-0.0016674332081077481,0.3674756557860356,0.010089855634055745,-0.00023217158748177523,-0.0016460525660240255,0.031538576270112195,0.029630516543830462,0.03316046861851017,0.005308801917515878,0.005584497297377597,-0.0017165287478333843,0.000577018210272013,-0.012562428227048932,0.017148582844362513,0.011422081102323609,0.0015755976401553968,0.0015486383295267238,0.00137049051445772,-0.007872449187864363,0.02685087963117784,0.029311564172421915,0.00042325461945616965,0.8497192449888072,0.8425952050351024,0.0004828215279203659,0.0032490438693793386,0.1224474212233292,0.0013655405785142696,0.00018769611028655636,-0.0014407660889851938,-0.00022019771244196493,0.971228428519905,-0.011914039547361782,0.007782877290681671,0.0044828279870604195,0.008097036718437544,0.007326495603626787,0.004307243251300355,0.005163849597964556,0.005361649910080314,0.0033595839228754256,0.03407276846405286
Total Length of Bwd Packet,-0.22375062695917258,0.0054325776626092505,0.0008493629480293864,-0.0006633506596519514,0.0067893278286481696,0.028327243347135517,0.2175191011843618,0.0013025888320064712,0.9999999999999999,-0.0017193981887181208,-0.00406646192321011,-0.004014038149443483,0.0023768206287819657,0.12023302411611393,0.0006687833755777093,0.2713558238381512,0.04225594647081366,0.00517097315761804,5.3455929011531016e-05,-0.0034073904962905197,-0.002307248749561276,-0.002887753136645579,-0.0023365011150893013,0.006943709643547166,-0.0034509079374824957,-0.0013781554302961896,-0.0028173775513980668,-0.0031430021881778732,0.11181508790444496,0.0007045610440781217,0.0013261857244369877,0.007277195703663711,-9.401373910181407e-06,-0.0018205043293599197,-0.0018635489115930266,0.7710152227477908,0.8872962497390644,-1.9440725321628927e-05,0.007030215196993743,-0.001953758563565282,0.013700851351284413,0.006964519942434952,0.015778036019735094,0.017605117292924213,0.007635606886327442,0.006891007775827608,-0.008756271173686839,0.5772668212535728,0.8551897625086027,-0.0015050536017967573,-0.0013777632940903098,-0.0013954370566826501,0.02582782990862937,0.003795600737468922,-0.004014038149443483,0.27135582383815116,0.5107021551515786,0.5151057103762987,0.00020781176350939323,0.03607194121056141,0.0009426142564919327,0.20581583858773073,0.5988487441827283,0.04322939962682841,0.002267230043960597,0.012625676671382287,0.008568590374406356,4.030327204283427e-05,0.001429043108120612,0.00026385056090247555,-0.0001770622304025249,-0.0030413041030543137,-0.0010462010994294114,-0.003020216484250592,-0.002954331591406723,0.018491785159806425
Fwd Packet Length Max,-0.0018519300118050239,-0.12386845835909538,-0.2582072276471408,0.06373816849292516,0.2823698778974078,-0.001299043652215099,-0.001016246651229314,0.029679672112670058,-0.0017193981887181206,1.0,0.9628444420203964,0.9840350562087138,0.19875512773051934,0.02185288557083093,-0.016697512864752833,0.0017500934645124392,0.02364653475653915,0.016906047973340103,-0.01312456408612712,0.22403894410331973,0.07995421201962656,0.2093195583972839,0.18452823159459347,0.2868692124931532,0.20870740375953506,0.0823648276150588,0.21535725300309272,0.19100808104026273,0.0013984866732200075,-0.004167091360920615,0.005541080729534354,-0.0017089474144269898,-0.012583625989177146,-0.0008247649651625192,-0.002945725194169523,0.01065648527052622,-0.0005758338975651625,-0.012807280551555266,-0.03077606247209042,0.5527009652137419,0.9971444625263564,0.960996885222507,0.6729007007753217,0.6503362184183145,0.023965074278391407,0.001156127671482977,-0.1369242814286136,0.0048123824145910425,0.0008662943522148657,0.03663787750481458,0.040310297743666436,0.042658733325882055,-0.08668593166900514,0.9552568545812391,0.9840350562087138,0.0017500934645124392,0.008326611775972532,0.00845382684357809,0.0033242337628552076,-0.0018881866728356544,0.10082965440020183,-0.0007200324330597496,-0.0008072164815890424,-0.04576501645230531,-0.013997067326109044,0.020883285816329936,-0.07931934816321426,0.0815695813384807,0.08785626829138726,0.09231163587359117,0.06941172533955593,0.19505805556644187,0.1297607662683916,0.21243095262562256,0.17538597279372825,-0.2887611069963884
